OBJECTID,SURFTYPE,SURFUSE,SHAPE_Length,SHAPE_Area
1,Asphalt,Parking Lot,123.185523464809,586.48426502828
2,Asphalt,Parking Lot,271.694362968055,3048.6420059186
3,Asphalt,Parking Lot,318.180636764122,1756.98913577229
4,Asphalt,Parking Lot,243.549577222738,1738.62521107662
5,Asphalt,Parking Lot,243.244725210266,793.273745870498
6,Asphalt,Parking Lot,182.098435164577,1173.77475003275
7,Asphalt,Parking Lot,181.114024008283,263.120355173867
8,Asphalt,Parking Lot,88.8420017259274,451.965882928025
9,Asphalt,Parking Lot,110.745783848749,314.677250911654
10,Concrete,Parking Lot,42.1573075839174,97.6139723854262
11,Asphalt,Parking Lot,170.147429754396,1439.46019238499
12,Concrete,Parking Lot,39.14356742013,82.2535812689724
13,Asphalt,Parking Lot,74.6057270907406,187.082511406576
14,Asphalt,Parking Lot,138.180644809812,657.527984647805
15,Asphalt,Parking Lot,297.685124932067,1498.85445056801
16,Asphalt,Parking Lot,289.562262960601,3624.73947131063
17,Asphalt,Parking Lot,698.902502896094,5406.8719606968
18,Asphalt,Parking Lot,144.399157691719,980.828152907886
19,Asphalt,Parking Lot,117.737085330613,567.621652181997
20,Asphalt,Parking Lot,230.163879151513,314.514128802219
21,Asphalt,Parking Lot,52.3727559449692,130.208357766789
22,Asphalt,Parking Lot,1470.88241486096,4105.09277204896
23,Asphalt,Parking Lot,109.368506154511,366.448336912906
24,Asphalt,Parking Lot,1240.230691308,3440.39724914983
25,Asphalt,Parking Lot,36.9705541678481,43.8254295685752
26,Asphalt,Parking Lot,620.08357335814,4084.45856851231
27,Asphalt,Parking Lot,213.060144846541,570.388335446347
28,Asphalt,Parking Lot,121.228342603042,621.181006893531
29,Asphalt,Parking Lot,45.5629345618121,100.117026321884
30,Asphalt,Parking Lot,44.262856447687,94.3646744999637
31,Asphalt,Parking Lot,126.495719025944,739.230166130413
32,Asphalt,Parking Lot,246.089211121839,72.6082632312446
33,Asphalt,Parking Lot,237.844787683396,1000.13410252617
34,Asphalt,Parking Lot,315.789631521856,3921.63352110306
35,Concrete,Parking Lot,40.3877415943192,101.860394878335
36,Asphalt,Parking Lot,38.3946253802129,82.3184453501664
37,Asphalt,Parking Lot,56.3168950227511,128.500232215439
38,Asphalt,Parking Lot,725.195419238314,5291.39553179954
39,Asphalt,Parking Lot,46.749270767977,104.758601640147
40,Asphalt,Parking Lot,28.7201977785192,51.3075195585702
41,Asphalt,Parking Lot,119.279950104435,889.66499633351
42,Asphalt,Parking Lot,130.119270208814,685.673014884142
43,Concrete,Parking Lot,194.249425473345,1234.77932249795
44,Asphalt,Parking Lot,45.7275644928385,111.871410139133
45,Concrete,Parking Lot,221.248660241078,1157.76994482005
46,Asphalt,Parking Lot,259.550860462614,1718.45408841737
47,Asphalt,Parking Lot,33.9122794191866,65.1299620086002
48,Asphalt,Parking Lot,294.204926727899,3812.59550015525
49,Asphalt,Parking Lot,421.334397373742,5129.6489007958
50,Concrete,Parking Lot,65.9606837248576,188.229370180394
51,Asphalt,Parking Lot,292.983284228443,3452.12706753237
52,Concrete,Parking Lot,43.1963802594275,58.6096475745166
53,Asphalt,Parking Lot,124.730767975727,779.031561401408
54,Asphalt,Parking Lot,131.792590760013,155.64533793035
55,Asphalt,Parking Lot,349.124515847212,2124.10381252867
56,Asphalt,Parking Lot,474.009982312175,4651.05027904883
57,Asphalt,Parking Lot,490.934556145219,7866.1944250124
58,Asphalt,Parking Lot,65.289805262602,258.484449383948
59,Asphalt,Parking Lot,255.243227273159,2588.06217380001
60,Asphalt,Parking Lot,796.826961673586,1246.43371638223
61,Asphalt,Parking Lot,65.8470747920352,175.245138853433
62,Asphalt,Parking Lot,889.345426439297,16499.3569305389
63,Asphalt,Parking Lot,262.992268502271,3602.71249680619
64,Asphalt,Parking Lot,45.6429557405501,120.528955879939
65,Asphalt,Parking Lot,373.854771033654,2264.00319936819
66,Asphalt,Parking Lot,593.697253591522,5415.56907279642
67,Asphalt,Parking Lot,198.217823040348,1677.19748933919
68,Asphalt,Parking Lot,203.093001185291,1332.96855040515
69,Asphalt,Parking Lot,39.158154091129,57.7272664209067
70,Asphalt,Parking Lot,94.6790860481516,284.192934607186
71,Asphalt,Parking Lot,39.467785060793,45.3856189915465
72,Asphalt,Parking Lot,863.437247142181,11717.4245441235
73,Asphalt,Parking Lot,36.6655341860257,44.9868330026456
74,Asphalt,Parking Lot,93.0496495443369,115.501293259732
75,Concrete,Parking Lot,40.3697522489988,58.2677172088172
